id,nombre,descripcion,ph_min,ph_max,humedad_min,humedad_max,altitud_min,altitud_max,temp_min,temp_max
251,Pasto Sudan,Híbrido de rápido crecimiento,5.19,7.1,43.8,70.8,0,1836,21.5,38.8
252,Arachis Pintoi,Leguminosa rastrera tropical,5.09,6.93,54.1,83.4,10,1837,19.3,34.6
253,Calliandra,Arbusto forrajero rico en proteína,5.68,7.51,52.0,77.7,75,2500,17.1,30.6
254,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,4.95,6.91,46.1,73.6,52,1881,22.9,36.3
255,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.02,6.97,57.1,84.3,0,2154,18.3,31.9
256,Pasto Elefante,Forraje tropical de alta producción,5.31,6.97,62.6,82.6,0,1716,20.2,34.9
257,Alfalfa,Leguminosa rica en proteína para ganado,5.82,7.35,50.7,67.4,973,3147,15.0,27.7
258,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.69,6.35,40.0,76.0,69,2084,22.1,36.3
259,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,4.81,6.97,43.5,77.9,0,2255,19.7,35.5
260,Pasto Guinea,Pasto tropical de rápido crecimiento,5.02,6.92,53.3,78.5,0,1730,22.0,34.0
261,Pasto Kikuyo,Muy usado en lechería de clima frío,5.46,7.13,63.3,87.8,1854,3232,10.6,22.0
262,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.6,7.03,62.6,86.4,1843,3223,8.6,20.0
263,Ray Grass Italiano,Forraje de alta digestibilidad,5.8,7.11,59.0,86.7,1468,3082,10.0,22.6
264,Maíz Forrajero,Utilizado principalmente para ensilaje,5.33,7.12,53.7,77.5,42,2583,17.3,31.4
265,Sorgo Forrajero,Alta tolerancia al calor y sequía,4.89,6.95,44.7,71.2,53,2270,20.5,37.9
266,Avena Forrajera,Excelente producción en clima frío,5.81,7.29,62.9,84.8,1433,3180,7.6,19.2
267,Trébol Blanco,Leguminosa fijadora de nitrógeno,5.82,7.34,53.0,73.4,1100,2778,11.6,24.1
268,Trébol Rojo,Forraje de buena calidad nutricional,5.91,7.3,47.6,77.6,1258,3048,9.3,24.5
269,Canavalia,Leguminosa usada como cobertura y forraje,5.63,7.37,49.7,82.6,0,1862,20.6,32.8
270,Leucaena,Árbol forrajero rico en proteína,5.42,7.64,46.4,77.8,80,1769,21.5,35.2
271,Botón de Oro,Forraje arbustivo de alta proteína,5.04,7.08,49.6,85.9,42,2444,17.6,30.9
272,King Grass,Variedad de pasto de gran rendimiento,5.57,6.85,62.1,86.1,74,1801,22.0,35.9
273,Pasto Estrella,Pasto tropical resistente al pastoreo,5.09,6.81,47.7,79.1,95,1916,22.4,35.3
274,Pasto Tanner,Pasto adaptado a suelos húmedos,4.91,6.61,70.1,88.3,0,1437,22.2,34.2
275,Pasto Pangola,Excelente digestibilidad para bovinos,5.13,7.04,52.3,82.7,1,1784,20.1,35.8
276,Moringa,Árbol forrajero con alto contenido nutricional,5.15,7.67,38.5,70.1,0,1462,23.0,38.6
277,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,4.85,6.94,48.6,75.3,0,2099,21.0,34.4
278,Pennisetum Purpureum,Pasto tropical para corte,5.45,6.84,61.7,84.7,18,1848,21.5,35.3
279,Maralfalfa,Pasto híbrido de alta producción,5.45,7.15,62.2,86.7,0,1934,20.0,34.6
280,Caña Forrajera,Utilizada como suplemento energético,4.84,7.63,53.4,82.5,0,1735,21.1,35.1
281,Centrosema,Leguminosa tropical rastrera,4.97,6.7,52.7,83.8,0,1780,20.4,33.6
282,Desmodium,Leguminosa de buena digestibilidad,5.66,7.17,49.6,81.5,29,2272,17.3,32.7
283,Guandul,Leguminosa arbustiva resistente,5.08,7.33,46.9,76.2,0,1971,21.0,34.9
284,Caupí Forrajero,Leguminosa anual tropical,4.96,6.82,49.8,73.8,0,1757,22.6,33.2
285,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.0,6.82,46.1,78.2,80,2108,19.3,36.6
286,Pasto Alemán,Forraje adaptado a zonas húmedas,4.92,6.63,72.7,95.6,0,1240,22.7,34.8
287,Pasto Jaragua,Muy resistente a altas temperaturas,4.75,6.77,41.4,72.7,0,1851,23.9,37.5
288,Pasto Angleton,Forraje tropical para pastoreo,4.98,6.92,43.2,76.6,0,1899,21.8,35.6
289,Pasto Toledo,Variedad mejorada de brachiaria,5.13,6.85,49.7,77.9,21,2190,19.0,35.9
290,Pasto Mombasa,Alta producción de biomasa,4.89,7.11,56.9,82.1,0,1833,22.3,34.5
291,Pasto Tanzania,Excelente calidad nutricional,4.99,7.03,55.8,78.7,62,1836,21.7,35.0
292,Pasto Mulato II,Híbrido resistente y nutritivo,4.83,6.66,47.8,81.8,0,2285,19.5,36.7
293,Pasto Humidícola,Ideal para terrenos inundables,4.62,6.43,73.6,96.8,43,1240,22.6,34.6
294,Pasto Rhodes,Muy usado en sistemas ganaderos,5.06,6.89,45.4,72.6,36,2208,19.4,35.8
295,Pasto Buffel,Excelente resistencia a sequía,4.97,7.38,33.5,64.1,66,1767,23.1,39.1
296,Soja Forrajera,Fuente rica en proteína vegetal,5.62,7.07,50.1,74.9,0,1724,20.6,32.0
297,Vicia,Leguminosa usada en mezcla con gramíneas,6.03,7.61,57.5,81.0,1231,3082,10.1,24.5
298,Cebada Forrajera,Excelente para climas templados,5.89,7.65,50.5,77.8,1491,3220,7.5,20.4
299,Festuca,Gramínea perenne para clima frío,5.43,6.86,58.5,84.4,1737,3112,7.4,20.8
300,Dactylis Glomerata,Pasto resistente al frío,5.33,7.04,55.6,81.6,1839,3107,7.0,20.9
301,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.34,7.37,50.6,75.2,1562,3114,9.3,23.1
302,Pasto Sudan,Híbrido de rápido crecimiento,5.06,6.94,47.3,70.8,34,1885,22.3,38.0
303,Arachis Pintoi,Leguminosa rastrera tropical,4.97,6.64,53.6,83.2,0,1741,20.3,33.1
304,Calliandra,Arbusto forrajero rico en proteína,5.4,7.35,47.7,82.5,3,2564,17.1,30.5
305,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,5.05,6.82,46.8,77.3,85,1770,22.7,35.4
306,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.19,6.9,55.0,87.0,0,2246,19.0,32.8
307,Pasto Elefante,Forraje tropical de alta producción,5.41,7.11,58.7,79.5,0,1703,20.6,35.0
308,Alfalfa,Leguminosa rica en proteína para ganado,6.07,7.58,48.5,71.0,954,3211,14.0,28.6
309,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.62,6.49,40.5,75.6,1,2016,22.0,36.2
310,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,4.97,6.84,44.9,80.1,46,2200,20.5,35.3
311,Pasto Guinea,Pasto tropical de rápido crecimiento,5.08,6.82,54.2,80.1,0,1732,21.2,34.0
312,Pasto Kikuyo,Muy usado en lechería de clima frío,5.6,6.9,66.2,93.0,1858,3182,10.6,22.1
313,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.71,7.21,64.6,84.6,1740,3236,8.4,20.9
314,Ray Grass Italiano,Forraje de alta digestibilidad,5.87,6.84,59.2,85.6,1495,3009,10.3,22.0
315,Maíz Forrajero,Utilizado principalmente para ensilaje,5.32,7.19,54.2,80.3,0,2495,18.5,32.3
316,Sorgo Forrajero,Alta tolerancia al calor y sequía,5.15,6.91,42.3,69.9,0,2228,20.3,38.4
317,Avena Forrajera,Excelente producción en clima frío,5.95,7.17,61.2,85.9,1595,3120,7.8,20.4
318,Trébol Blanco,Leguminosa fijadora de nitrógeno,6.11,7.44,57.4,73.0,1214,2723,11.6,23.2
319,Trébol Rojo,Forraje de buena calidad nutricional,5.82,7.2,48.0,75.1,1189,2979,10.4,24.8
320,Canavalia,Leguminosa usada como cobertura y forraje,5.4,7.54,50.0,82.6,96,1886,20.1,31.2
321,Leucaena,Árbol forrajero rico en proteína,5.53,7.45,47.2,76.0,93,1770,21.4,34.7
322,Botón de Oro,Forraje arbustivo de alta proteína,4.84,6.98,48.2,82.9,0,2557,18.9,29.6
323,King Grass,Variedad de pasto de gran rendimiento,5.49,6.93,57.5,87.4,29,1881,21.9,35.2
324,Pasto Estrella,Pasto tropical resistente al pastoreo,5.01,6.96,48.8,81.3,62,2038,22.3,35.2
325,Pasto Tanner,Pasto adaptado a suelos húmedos,4.67,6.57,67.7,91.4,0,1421,22.7,34.3
326,Pasto Pangola,Excelente digestibilidad para bovinos,4.84,7.08,57.3,82.6,0,1888,20.7,34.5
327,Moringa,Árbol forrajero con alto contenido nutricional,4.8,7.58,39.8,70.6,6,1476,23.7,38.3
328,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.02,6.84,52.6,73.7,0,1942,20.3,34.6
329,Pennisetum Purpureum,Pasto tropical para corte,5.4,6.89,62.6,85.9,0,1711,22.1,34.6
330,Maralfalfa,Pasto híbrido de alta producción,5.32,6.98,62.1,86.7,0,1982,20.0,34.5
331,Caña Forrajera,Utilizada como suplemento energético,5.19,7.6,53.4,77.8,0,1898,21.6,35.7
332,Centrosema,Leguminosa tropical rastrera,4.99,6.89,56.7,83.2,0,1710,19.2,33.2
333,Desmodium,Leguminosa de buena digestibilidad,5.41,7.17,52.9,80.2,84,2159,17.5,32.6
334,Guandul,Leguminosa arbustiva resistente,5.03,7.52,42.0,75.4,0,2056,20.6,34.1
335,Caupí Forrajero,Leguminosa anual tropical,5.18,6.83,52.5,73.1,90,1729,22.3,33.9
336,Pasto Bermuda,Pasto resistente y de rápido crecimiento,4.9,7.19,46.9,79.7,50,2201,20.3,35.3
337,Pasto Alemán,Forraje adaptado a zonas húmedas,5.13,6.34,72.0,96.5,0,1290,21.9,34.7
338,Pasto Jaragua,Muy resistente a altas temperaturas,4.95,6.99,37.9,68.4,0,1839,24.6,37.0
339,Pasto Angleton,Forraje tropical para pastoreo,5.01,6.72,45.6,75.3,0,1717,21.5,35.4
340,Pasto Toledo,Variedad mejorada de brachiaria,4.84,6.96,49.1,78.2,0,2165,19.1,34.7
341,Pasto Mombasa,Alta producción de biomasa,5.18,7.07,53.1,79.1,0,1814,21.9,34.5
342,Pasto Tanzania,Excelente calidad nutricional,5.16,7.04,54.6,78.1,27,1789,21.7,34.3
343,Pasto Mulato II,Híbrido resistente y nutritivo,5.12,6.8,48.0,78.4,0,2183,20.5,36.4
344,Pasto Humidícola,Ideal para terrenos inundables,4.31,6.59,77.8,95.9,16,1234,21.5,34.8
345,Pasto Rhodes,Muy usado en sistemas ganaderos,5.03,7.15,45.9,75.1,0,2267,20.6,36.6
346,Pasto Buffel,Excelente resistencia a sequía,4.97,7.38,32.3,64.8,1,1866,23.2,40.5
347,Soja Forrajera,Fuente rica en proteína vegetal,5.67,7.39,52.8,77.6,47,1898,20.9,32.0
348,Vicia,Leguminosa usada en mezcla con gramíneas,5.95,7.49,53.8,80.5,1196,2990,9.8,23.4
349,Cebada Forrajera,Excelente para climas templados,5.85,7.32,48.5,77.5,1490,3218,8.1,19.2
350,Festuca,Gramínea perenne para clima frío,5.57,7.06,61.0,86.0,1732,3146,7.9,20.7
351,Dactylis Glomerata,Pasto resistente al frío,5.57,7.16,55.8,80.0,1850,3173,8.4,19.7
352,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.52,7.38,50.5,74.9,1562,3180,10.1,23.7
353,Pasto Sudan,Híbrido de rápido crecimiento,5.15,7.06,46.9,71.7,0,1831,21.8,37.4
354,Arachis Pintoi,Leguminosa rastrera tropical,4.99,6.98,52.7,84.0,36,1786,20.9,34.8
355,Calliandra,Arbusto forrajero rico en proteína,5.31,7.66,48.1,77.0,0,2534,17.9,30.1
356,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,5.06,7.01,45.7,74.1,45,1802,21.4,36.8
357,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.11,6.88,54.6,85.0,71,2225,17.5,32.0
358,Pasto Elefante,Forraje tropical de alta producción,5.49,6.86,62.5,82.5,83,1700,19.1,34.0
359,Alfalfa,Leguminosa rica en proteína para ganado,6.15,7.48,50.5,70.4,912,3240,14.9,28.3
360,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.54,6.66,41.0,73.9,19,1947,21.1,36.4
361,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,5.07,6.89,44.8,81.1,64,2194,19.7,34.8
362,Pasto Guinea,Pasto tropical de rápido crecimiento,4.85,6.83,57.9,80.4,98,1897,21.6,33.6
363,Pasto Kikuyo,Muy usado en lechería de clima frío,5.48,7.17,63.6,90.5,1873,3227,10.7,21.8
364,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.68,7.33,67.1,84.7,1830,3167,8.1,20.9
365,Ray Grass Italiano,Forraje de alta digestibilidad,5.68,6.86,57.6,84.9,1481,3093,10.4,21.4
366,Maíz Forrajero,Utilizado principalmente para ensilaje,5.39,7.02,57.2,78.1,85,2577,18.3,31.1
367,Sorgo Forrajero,Alta tolerancia al calor y sequía,4.91,6.85,47.8,70.7,98,2148,19.3,37.6
368,Avena Forrajera,Excelente producción en clima frío,5.84,7.21,61.2,85.2,1434,3200,8.7,19.3
369,Trébol Blanco,Leguminosa fijadora de nitrógeno,6.16,7.67,57.1,77.7,1209,2732,11.7,23.3
370,Trébol Rojo,Forraje de buena calidad nutricional,6.06,7.15,49.7,73.6,1184,3037,10.7,24.2
371,Canavalia,Leguminosa usada como cobertura y forraje,5.41,7.52,52.9,82.2,65,1895,19.5,31.5
372,Leucaena,Árbol forrajero rico en proteína,5.59,7.32,43.9,76.4,0,1891,21.4,35.4
373,Botón de Oro,Forraje arbustivo de alta proteína,5.19,6.97,52.7,86.4,0,2481,17.2,29.6
374,King Grass,Variedad de pasto de gran rendimiento,5.43,6.88,58.7,82.5,15,1755,21.6,36.0
375,Pasto Estrella,Pasto tropical resistente al pastoreo,4.8,6.64,47.1,80.3,19,1907,21.1,36.0
376,Pasto Tanner,Pasto adaptado a suelos húmedos,4.72,6.37,67.8,90.8,0,1550,21.2,33.7
377,Pasto Pangola,Excelente digestibilidad para bovinos,4.84,7.13,55.5,80.9,0,1820,19.3,35.8
378,Moringa,Árbol forrajero con alto contenido nutricional,5.19,7.45,39.9,67.8,58,1562,24.8,37.2
379,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.05,7.03,49.3,74.5,90,1964,20.5,34.2
380,Pennisetum Purpureum,Pasto tropical para corte,5.3,6.97,62.2,85.1,0,1802,21.5,35.3
381,Maralfalfa,Pasto híbrido de alta producción,5.31,7.06,62.4,87.7,44,2071,20.9,35.5
382,Caña Forrajera,Utilizada como suplemento energético,5.17,7.41,57.6,81.9,85,1749,22.5,36.8
383,Centrosema,Leguminosa tropical rastrera,5.19,6.82,53.8,85.9,94,1867,20.3,33.6
384,Desmodium,Leguminosa de buena digestibilidad,5.55,7.09,50.5,81.9,5,2234,17.0,31.7
385,Guandul,Leguminosa arbustiva resistente,4.9,7.5,47.2,77.5,8,2001,19.6,34.4
386,Caupí Forrajero,Leguminosa anual tropical,4.95,7.11,50.0,72.6,0,1807,21.5,34.3
387,Pasto Bermuda,Pasto resistente y de rápido crecimiento,4.91,6.96,46.9,79.1,92,2228,20.9,35.6
388,Pasto Alemán,Forraje adaptado a zonas húmedas,4.86,6.46,69.4,95.6,89,1157,22.8,33.6
389,Pasto Jaragua,Muy resistente a altas temperaturas,4.79,6.71,41.0,67.7,0,1856,24.6,37.3
390,Pasto Angleton,Forraje tropical para pastoreo,5.06,6.79,47.1,75.2,0,1829,21.9,36.6
391,Pasto Toledo,Variedad mejorada de brachiaria,4.95,6.88,50.4,81.7,71,2248,19.8,34.6
392,Pasto Mombasa,Alta producción de biomasa,4.87,7.04,54.8,81.8,0,1862,21.5,35.1
393,Pasto Tanzania,Excelente calidad nutricional,4.96,6.97,54.6,78.4,100,1879,21.4,34.4
394,Pasto Mulato II,Híbrido resistente y nutritivo,5.11,6.69,52.1,79.3,0,2119,20.7,36.5
395,Pasto Humidícola,Ideal para terrenos inundables,4.44,6.59,76.7,95.7,0,1185,21.3,33.2
396,Pasto Rhodes,Muy usado en sistemas ganaderos,5.05,6.92,44.7,72.1,0,2254,20.8,36.0
397,Pasto Buffel,Excelente resistencia a sequía,5.15,7.68,36.5,64.2,0,1885,23.6,40.3
398,Soja Forrajera,Fuente rica en proteína vegetal,5.81,7.21,51.1,74.1,78,1705,20.6,31.7
399,Vicia,Leguminosa usada en mezcla con gramíneas,6.03,7.64,57.0,77.8,1158,3003,10.0,23.2
400,Cebada Forrajera,Excelente para climas templados,6.18,7.35,52.6,75.1,1590,3161,7.1,20.6
401,Festuca,Gramínea perenne para clima frío,5.57,6.86,62.8,85.2,1845,3290,7.1,19.6
402,Dactylis Glomerata,Pasto resistente al frío,5.45,6.92,56.2,81.7,1716,3113,8.3,19.2
403,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.48,7.5,51.8,77.9,1570,3193,9.6,24.8
404,Pasto Sudan,Híbrido de rápido crecimiento,5.01,7.16,46.0,67.4,94,1739,21.3,38.7
405,Arachis Pintoi,Leguminosa rastrera tropical,4.98,6.7,56.6,83.3,0,1727,20.3,34.5
406,Calliandra,Arbusto forrajero rico en proteína,5.41,7.63,48.6,79.9,0,2415,18.5,30.6
407,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,4.98,7.17,44.0,76.0,7,1858,22.3,35.8
408,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.08,7.08,52.4,86.1,0,2238,18.6,31.6
409,Pasto Elefante,Forraje tropical de alta producción,5.31,7.19,60.3,82.8,97,1723,20.2,34.7
410,Alfalfa,Leguminosa rica en proteína para ganado,5.99,7.62,47.4,71.2,927,3263,14.4,28.1
411,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.45,6.34,42.5,73.1,0,2043,22.4,36.3
412,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,4.85,6.88,46.1,77.5,0,2141,20.1,34.5
413,Pasto Guinea,Pasto tropical de rápido crecimiento,4.95,7.15,55.6,78.3,0,1859,21.9,33.5
414,Pasto Kikuyo,Muy usado en lechería de clima frío,5.67,7.13,65.8,92.5,1884,3163,10.7,21.0
415,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.86,7.22,63.4,82.9,1792,3156,7.2,19.6
416,Ray Grass Italiano,Forraje de alta digestibilidad,5.84,7.02,61.4,85.3,1451,3028,9.9,22.9
417,Maíz Forrajero,Utilizado principalmente para ensilaje,5.5,7.07,56.4,80.2,0,2558,17.3,32.0
418,Sorgo Forrajero,Alta tolerancia al calor y sequía,4.97,6.82,46.7,70.6,99,2123,20.2,38.2
419,Avena Forrajera,Excelente producción en clima frío,5.9,7.46,62.8,83.3,1572,3246,8.3,20.0
420,Trébol Blanco,Leguminosa fijadora de nitrógeno,6.11,7.66,57.4,75.1,1158,2899,11.6,24.3
421,Trébol Rojo,Forraje de buena calidad nutricional,5.99,7.37,47.8,76.3,1227,2967,10.1,24.5
422,Canavalia,Leguminosa usada como cobertura y forraje,5.64,7.64,52.9,79.8,0,1765,20.1,31.6
423,Leucaena,Árbol forrajero rico en proteína,5.35,7.35,43.8,76.1,0,1853,22.6,35.5
424,Botón de Oro,Forraje arbustivo de alta proteína,4.84,7.04,47.1,83.3,0,2552,17.9,29.1
425,King Grass,Variedad de pasto de gran rendimiento,5.31,7.15,62.7,82.2,5,1864,22.8,34.9
426,Pasto Estrella,Pasto tropical resistente al pastoreo,4.84,6.82,49.5,77.0,0,2057,21.5,36.0
427,Pasto Tanner,Pasto adaptado a suelos húmedos,4.62,6.44,69.1,91.5,0,1509,22.5,34.4
428,Pasto Pangola,Excelente digestibilidad para bovinos,4.96,7.17,57.6,77.3,0,1894,20.3,34.6
429,Moringa,Árbol forrajero con alto contenido nutricional,4.86,7.52,39.0,69.2,48,1587,24.0,37.8
430,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.03,7.09,47.8,76.7,36,2045,19.2,33.8
431,Pennisetum Purpureum,Pasto tropical para corte,5.6,7.16,57.8,86.9,0,1765,23.0,34.7
432,Maralfalfa,Pasto híbrido de alta producción,5.65,7.13,62.1,86.5,0,2082,19.1,35.9
433,Caña Forrajera,Utilizada como suplemento energético,5.02,7.51,56.1,82.9,0,1880,21.2,36.9
434,Centrosema,Leguminosa tropical rastrera,4.91,6.7,55.9,84.1,0,1863,20.0,34.8
435,Desmodium,Leguminosa de buena digestibilidad,5.41,7.14,48.3,79.1,0,2104,17.3,31.3
436,Guandul,Leguminosa arbustiva resistente,5.08,7.59,46.6,73.6,21,2097,19.5,34.9
437,Caupí Forrajero,Leguminosa anual tropical,5.0,7.15,51.4,74.5,31,1769,22.0,34.7
438,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.14,6.83,45.3,78.2,55,2275,19.3,35.1
439,Pasto Alemán,Forraje adaptado a zonas húmedas,5.04,6.53,69.4,95.8,60,1161,22.9,33.6
440,Pasto Jaragua,Muy resistente a altas temperaturas,4.65,6.92,41.8,68.7,31,1854,24.7,38.0
441,Pasto Angleton,Forraje tropical para pastoreo,5.0,6.85,46.2,73.8,0,1718,22.4,35.1
442,Pasto Toledo,Variedad mejorada de brachiaria,5.0,6.65,52.4,78.9,0,2152,20.8,35.5
443,Pasto Mombasa,Alta producción de biomasa,4.9,6.91,54.5,78.9,0,1797,21.1,34.9
444,Pasto Tanzania,Excelente calidad nutricional,5.2,6.96,56.9,78.6,98,1724,23.0,34.4
445,Pasto Mulato II,Híbrido resistente y nutritivo,5.04,6.62,52.5,82.2,0,2100,20.8,35.7
446,Pasto Humidícola,Ideal para terrenos inundables,4.42,6.66,73.1,94.8,0,1250,22.4,33.4
447,Pasto Rhodes,Muy usado en sistemas ganaderos,4.83,7.02,45.6,73.8,67,2125,20.1,35.6
448,Pasto Buffel,Excelente resistencia a sequía,5.02,7.67,32.8,63.5,75,1862,24.0,40.9
449,Soja Forrajera,Fuente rica en proteína vegetal,5.65,7.29,49.3,73.9,0,1777,20.4,31.5
450,Vicia,Leguminosa usada en mezcla con gramíneas,6.11,7.46,52.1,77.5,1222,3086,10.0,23.5
451,Cebada Forrajera,Excelente para climas templados,5.88,7.47,50.6,75.0,1545,3116,8.3,20.6
452,Festuca,Gramínea perenne para clima frío,5.35,7.06,60.6,84.2,1706,3298,8.4,19.9
453,Dactylis Glomerata,Pasto resistente al frío,5.65,7.17,56.9,78.2,1896,3224,8.2,19.3
454,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.45,7.7,51.7,76.3,1562,3171,9.0,23.3
455,Pasto Sudan,Híbrido de rápido crecimiento,5.11,7.14,44.7,69.0,50,1789,22.0,37.1
456,Arachis Pintoi,Leguminosa rastrera tropical,4.98,6.68,54.4,84.9,62,1746,20.3,34.4
457,Calliandra,Arbusto forrajero rico en proteína,5.51,7.32,47.0,81.3,0,2573,18.0,30.1
458,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,4.93,7.2,45.6,77.7,6,1775,21.9,35.3
459,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.09,6.89,54.9,84.9,11,2263,18.6,31.9
460,Pasto Elefante,Forraje tropical de alta producción,5.6,6.83,57.0,79.2,63,1703,19.2,34.8
461,Alfalfa,Leguminosa rica en proteína para ganado,5.98,7.54,47.7,67.9,921,3264,14.3,28.6
462,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.5,6.57,40.5,72.2,0,1959,22.5,35.8
463,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,4.86,6.68,42.9,80.9,85,2215,20.7,34.2
464,Pasto Guinea,Pasto tropical de rápido crecimiento,5.02,7.13,54.6,79.6,30,1867,21.4,33.0
465,Pasto Kikuyo,Muy usado en lechería de clima frío,5.5,6.95,62.7,90.3,1718,3142,9.8,21.2
466,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.65,7.35,67.7,87.4,1776,3260,8.4,19.9
467,Ray Grass Italiano,Forraje de alta digestibilidad,5.87,7.14,61.6,87.8,1408,3047,10.1,21.5
468,Maíz Forrajero,Utilizado principalmente para ensilaje,5.67,6.95,55.7,81.1,50,2480,18.4,31.4
469,Sorgo Forrajero,Alta tolerancia al calor y sequía,5.12,6.96,45.5,67.7,0,2159,19.2,37.6
470,Avena Forrajera,Excelente producción en clima frío,5.84,7.32,59.8,84.9,1432,3198,7.2,19.6
471,Trébol Blanco,Leguminosa fijadora de nitrógeno,5.87,7.38,55.7,75.7,1193,2762,13.0,24.4
472,Trébol Rojo,Forraje de buena calidad nutricional,5.99,7.1,52.6,76.8,1298,3056,9.6,23.6
473,Canavalia,Leguminosa usada como cobertura y forraje,5.36,7.44,51.2,79.2,51,1741,19.7,31.7
474,Leucaena,Árbol forrajero rico en proteína,5.38,7.35,42.5,72.3,0,1739,21.5,34.0
475,Botón de Oro,Forraje arbustivo de alta proteína,5.09,7.01,52.1,83.4,74,2422,17.6,30.4
476,King Grass,Variedad de pasto de gran rendimiento,5.66,7.07,62.2,85.1,18,1746,21.2,36.0
477,Pasto Estrella,Pasto tropical resistente al pastoreo,4.91,6.88,49.7,77.8,0,2044,21.9,36.5
478,Pasto Tanner,Pasto adaptado a suelos húmedos,4.76,6.47,72.5,90.6,34,1408,21.1,34.9
479,Pasto Pangola,Excelente digestibilidad para bovinos,4.94,7.08,52.3,77.6,0,1735,20.9,35.7
480,Moringa,Árbol forrajero con alto contenido nutricional,5.05,7.36,42.9,68.5,20,1519,24.1,37.5
481,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,4.84,6.83,48.5,77.2,0,1942,21.0,33.8
482,Pennisetum Purpureum,Pasto tropical para corte,5.44,6.9,61.9,83.4,0,1753,21.3,35.7
483,Maralfalfa,Pasto híbrido de alta producción,5.32,7.03,61.7,83.2,0,1965,20.5,35.0
484,Caña Forrajera,Utilizada como suplemento energético,4.84,7.36,52.8,81.9,13,1888,21.8,36.1
485,Centrosema,Leguminosa tropical rastrera,4.85,6.91,53.4,83.4,19,1799,20.5,33.9
486,Desmodium,Leguminosa de buena digestibilidad,5.35,6.88,52.0,79.6,0,2294,18.5,31.5
487,Guandul,Leguminosa arbustiva resistente,5.17,7.61,44.6,74.8,0,1952,19.8,34.6
488,Caupí Forrajero,Leguminosa anual tropical,4.91,7.04,48.8,73.3,0,1763,21.8,34.7
489,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.0,7.05,44.2,78.1,0,2132,19.5,35.8
490,Pasto Alemán,Forraje adaptado a zonas húmedas,4.89,6.42,67.8,94.5,23,1286,21.9,35.0
491,Pasto Jaragua,Muy resistente a altas temperaturas,4.96,6.93,40.0,72.0,0,1877,23.3,38.8
492,Pasto Angleton,Forraje tropical para pastoreo,4.85,6.65,45.5,75.9,0,1770,21.2,35.4
493,Pasto Toledo,Variedad mejorada de brachiaria,5.15,6.64,50.9,78.0,0,2249,20.4,34.8
494,Pasto Mombasa,Alta producción de biomasa,5.07,7.14,56.2,82.8,93,1758,21.4,35.3
495,Pasto Tanzania,Excelente calidad nutricional,4.99,7.04,53.0,77.6,49,1836,22.5,35.3
496,Pasto Mulato II,Híbrido resistente y nutritivo,5.05,6.89,48.0,80.8,0,2300,20.4,35.1
497,Pasto Humidícola,Ideal para terrenos inundables,4.37,6.64,76.7,97.8,0,1294,22.9,33.2
498,Pasto Rhodes,Muy usado en sistemas ganaderos,5.08,6.92,47.2,73.7,0,2212,20.0,35.0
499,Pasto Buffel,Excelente resistencia a sequía,5.05,7.64,36.5,66.1,0,1825,23.6,39.1
500,Soja Forrajera,Fuente rica en proteína vegetal,5.72,7.37,47.6,75.4,11,1844,20.8,31.5
